recipe_id,recipe_name,category,prep_time_min,calories,difficulty,is_vegan,rating,publish_date,num_ingredients,contains_allergens,user_popularity
1,Green Power Smoothie,Smoothie,3,180,Easy,TRUE,4.8,2026-01-05,5,FALSE,9200
2,Avocado Toast Deluxe,Snack,5,250,Easy,TRUE,4.6,2026-01-07,6,TRUE,8700
3,Berry Boost Bowl,Bowl,4,210,Easy,TRUE,4.7,2026-01-10,7,FALSE,9100
4,Quick Chickpea Salad,Salad,5,230,Easy,TRUE,4.5,2026-01-12,8,FALSE,7600
5,Mini Protein Wrap,Wrap,5,310,Medium,FALSE,4.4,2026-01-14,7,TRUE,6800
6,Spinach & Apple Smoothie,Smoothie,3,160,Easy,TRUE,4.9,2026-01-15,4,FALSE,9900
7,Express Tuna Bowl,Bowl,5,290,Medium,FALSE,4.3,2026-01-17,8,TRUE,6400
8,Peanut Energy Bites,Snack,4,200,Easy,TRUE,4.8,2026-01-18,6,TRUE,8500
9,Fresh Mango Cup,Dessert,3,140,Easy,TRUE,4.6,2026-01-20,3,FALSE,7000
10,Quick Egg Muffin,Breakfast,5,280,Medium,FALSE,4.2,2026-01-22,7,TRUE,6200
11,Detox Green Shot,Smoothie,2,90,Easy,TRUE,4.9,2026-01-23,3,FALSE,10500
12,Crunchy Veggie Wrap,Wrap,5,240,Medium,TRUE,4.5,2026-01-25,8,FALSE,7800
13,Protein Yogurt Cup,Breakfast,4,220,Easy,FALSE,4.7,2026-01-26,5,TRUE,8300
14,Mini Lentil Bowl,Bowl,5,260,Medium,TRUE,4.4,2026-01-27,7,FALSE,6900
15,Express Salmon Bites,Snack,5,300,Medium,FALSE,4.3,2026-01-29,6,TRUE,6100
16,Strawberry Refresh Smoothie,Smoothie,3,170,Easy,TRUE,4.8,2026-01-30,4,FALSE,9400
17,Quick Hummus Dip,Snack,4,190,Easy,TRUE,4.6,2026-02-01,5,FALSE,8200
18,Apple Cinnamon Bowl,Bowl,4,200,Easy,TRUE,4.7,2026-02-02,6,FALSE,8800
19,Express Turkey Roll,Wrap,5,310,Medium,FALSE,4.2,2026-02-03,7,TRUE,6000
20,Fresh Kiwi Shot,Smoothie,2,100,Easy,TRUE,4.9,2026-02-05,3,FALSE,10200
21,Quick Quinoa Cup,Bowl,5,240,Medium,TRUE,4.5,2026-02-06,8,FALSE,7500
22,Protein Choco Bites,Snack,4,210,Easy,FALSE,4.7,2026-02-07,6,TRUE,8400
23,Express Veggie Salad,Salad,5,220,Easy,TRUE,4.6,2026-02-09,7,FALSE,7900
24,Blueberry Morning Smoothie,Smoothie,3,150,Easy,TRUE,4.8,2026-02-10,4,FALSE,9600
25,Quick Egg Wrap,Wrap,5,280,Medium,FALSE,4.3,2026-02-12,7,TRUE,6300
26,Fresh Orange Cup,Dessert,3,130,Easy,TRUE,4.6,2026-02-13,3,FALSE,7100
27,Mini Bean Bowl,Bowl,5,250,Medium,TRUE,4.4,2026-02-14,8,FALSE,6700
28,Express Chicken Bites,Snack,5,300,Medium,FALSE,4.2,2026-02-16,6,TRUE,5900
29,Green Detox Smoothie,Smoothie,3,160,Easy,TRUE,4.9,2026-02-17,4,FALSE,9800
30,Quick Carrot Dip,Snack,4,180,Easy,TRUE,4.5,2026-02-18,5,FALSE,7600
31,Apple Almond Bowl,Bowl,4,210,Easy,TRUE,4.7,2026-02-20,6,TRUE,8300
32,Express Tuna Wrap,Wrap,5,320,Medium,FALSE,4.2,2026-02-21,7,TRUE,6000
33,Fresh Berry Cup,Dessert,3,140,Easy,TRUE,4.6,2026-02-22,3,FALSE,7200
34,Quick Oat Muffin,Breakfast,5,260,Medium,TRUE,4.4,2026-02-24,7,TRUE,6800
35,Protein Banana Bites,Snack,4,200,Easy,TRUE,4.7,2026-02-25,6,FALSE,8500
36,Express Veggie Bowl,Bowl,5,230,Medium,TRUE,4.5,2026-02-26,8,FALSE,7400
37,Fresh Mint Smoothie,Smoothie,3,150,Easy,TRUE,4.8,2026-02-27,4,FALSE,9500
38,Quick Salmon Roll,Wrap,5,330,Medium,FALSE,4.3,2026-02-28,7,TRUE,6100
39,Choco Energy Cup,Dessert,4,210,Easy,FALSE,4.6,2026-03-01,5,TRUE,8200
40,Express Green Salad,Salad,5,200,Easy,TRUE,4.7,2026-03-02,7,FALSE,8800
